Address,FloorSize
"838 41st St #2A Sunset Park, Brooklyn, NY",798 sqft
"605 41st St #P Sunset Park, Brooklyn, NY",800 sqft
"420 64th St #1 Sunset Park, Brooklyn, NY","2,200 sqft"
"730 57th St #3D Sunset Park, Brooklyn, NY",500 sqft
"4102 8th Ave #4G Sunset Park, Brooklyn, NY",697 sqft
"323 37th St Sunset Park, Brooklyn, NY","1,080 sqft"
"548 46th St #4L Sunset Park, Brooklyn, NY",819 sqft
"518 51st St Sunset Park, Brooklyn, NY","1,880 sqft"
"458 57th St Sunset Park, Brooklyn, NY","2,355 sqft"
"346 52nd St Sunset Park, Brooklyn, NY","3,300 sqft"
"354 48th St Sunset Park, Brooklyn, NY","1,360 sqft"
"434 39th St Sunset Park, Brooklyn, NY","1,748 sqft"
"683 41st St #18 Sunset Park, Brooklyn, NY",500 sqft
"4401 4th Ave #B2 Sunset Park, Brooklyn, NY",940 sqft
"4401 4th Ave #B5 Sunset Park, Brooklyn, NY",500 sqft
"863 50th St #3B Sunset Park, Brooklyn, NY",872 sqft
"637 41st St #1B Sunset Park, Brooklyn, NY",800 sqft
"416 43rd St Sunset Park, Brooklyn, NY","2,400 sqft"
"453 42nd St #1 Sunset Park, Brooklyn, NY","8,000 sqft"
"826 43rd St #8 Sunset Park, Brooklyn, NY",970 sqft
"832 53rd St Sunset Park, Brooklyn, NY","1,300 sqft"
"4407 4th Ave #C4 Sunset Park, Brooklyn, NY",800 sqft
"638 50th St #3A Sunset Park, Brooklyn, NY",579 sqft
"5907 4th Ave Sunset Park, Brooklyn, NY",N/A
"420 64th St #7E Sunset Park, Brooklyn, NY",640 sqft
"729 40th St #C Sunset Park, Brooklyn, NY",489 sqft
"420 42nd St #2E Sunset Park, Brooklyn, NY",637 sqft
"729 40th St #3A Sunset Park, Brooklyn, NY",705 sqft
"535 39th St Sunset Park, Brooklyn, NY","2,248 sqft"
"5306 4th Ave Sunset Park, Brooklyn, NY",717 sqft
"4711 8th Ave #4B Sunset Park, Brooklyn, NY",621 sqft
"457 49th St Sunset Park, Brooklyn, NY","1,740 sqft"
"5708 7th Ave #6B Sunset Park, Brooklyn, NY",577 sqft
"238 56th St #1F Sunset Park, Brooklyn, NY","1,097 sqft"
"272 61st St Sunset Park, Brooklyn, NY","2,188 sqft"
"462 52nd St #C2-M1-M3 Sunset Park, Brooklyn, NY","3,683 sqft"
"629 51st St #2C Sunset Park, Brooklyn, NY",490 sqft
"873 52nd St Sunset Park, Brooklyn, NY","3,158 sqft"
"241 54th St Sunset Park, Brooklyn, NY","1,857 sqft"
"634 40th St Sunset Park, Brooklyn, NY","3,000 sqft"
"4002 7th Ave #37 Sunset Park, Brooklyn, NY",570 sqft
"667 47th St Sunset Park, Brooklyn, NY","3,624 sqft"
"765 43rd St #2A Sunset Park, Brooklyn, NY",760 sqft
"943 4th Ave Sunset Park, Brooklyn, NY","4,000 sqft"
"744 55th St Sunset Park, Brooklyn, NY","2,200 sqft"
"5001 4th Ave Sunset Park, Brooklyn, NY","7,400 sqft"
"838 41st St #CFC Sunset Park, Brooklyn, NY","1,759 sqft"
"330 43rd St Sunset Park, Brooklyn, NY","1,935 sqft"
"745 57th St Sunset Park, Brooklyn, NY","1,934 sqft"
"628 48th St Sunset Park, Brooklyn, NY","1,824 sqft"
"635 59th St Sunset Park, Brooklyn, NY","2,108 sqft"
"665 50th St Sunset Park, Brooklyn, NY","2,080 sqft"
"332 55th St Sunset Park, Brooklyn, NY","1,654 sqft"
"462 48th St Sunset Park, Brooklyn, NY","3,200 sqft"
"712 45th St #3A-1 Sunset Park, Brooklyn, NY",861 sqft
"617 59th St Sunset Park, Brooklyn, NY","2,200 sqft"
"673 41st St #5 Sunset Park, Brooklyn, NY",500 sqft
"642 52nd St Sunset Park, Brooklyn, NY","3,048 sqft"
"4313 9th Ave #1D Sunset Park, Brooklyn, NY",800 sqft
"320 57th St #2B Sunset Park, Brooklyn, NY","1,455 sqft"
"429 53rd St Sunset Park, Brooklyn, NY","1,200 sqft"
"6108 7th Ave Sunset Park, Brooklyn, NY","3,300 sqft"
"4317 8th Ave Sunset Park, Brooklyn, NY","19,104 sqft"
"453 44th St Sunset Park, Brooklyn, NY","1,680 sqft"
"254 55th St #4A Sunset Park, Brooklyn, NY","1,335 sqft"
"531 52nd St #1A Sunset Park, Brooklyn, NY",924 sqft
"5412 6th Ave Sunset Park, Brooklyn, NY","2,852 sqft"
"833 63rd St Sunset Park, Brooklyn, NY","2,014 sqft"
"663 55th St Sunset Park, Brooklyn, NY","2,128 sqft"
"420 64th St #2 Sunset Park, Brooklyn, NY",720 sqft
"849 57th St #5FL Sunset Park, Brooklyn, NY","2,610 sqft"
"762 39th St Sunset Park, Brooklyn, NY","2,550 sqft"
"652 39th St Sunset Park, Brooklyn, NY","2,100 sqft"
"901 50th St #4A Sunset Park, Brooklyn, NY",734 sqft
"4102 8th Ave #3D Sunset Park, Brooklyn, NY",489 sqft
"825 46th St Sunset Park, Brooklyn, NY","2,814 sqft"
"254 55th St #3A Sunset Park, Brooklyn, NY",710 sqft
"737 43rd St Sunset Park, Brooklyn, NY","2,880 sqft"
"776 46th St Sunset Park, Brooklyn, NY","2,980 sqft"
"750 53rd St Sunset Park, Brooklyn, NY","2,483 sqft"
"5018 4th Ave #1 Sunset Park, Brooklyn, NY","19,200 sqft"
"528 47th St Sunset Park, Brooklyn, NY","2,772 sqft"
"882 58th St Sunset Park, Brooklyn, NY","2,916 sqft"
"834 57th St #2C Sunset Park, Brooklyn, NY",545 sqft
"245 51st St Sunset Park, Brooklyn, NY","2,040 sqft"
"839 57th St Sunset Park, Brooklyn, NY","6,150 sqft"
"430 61st St Sunset Park, Brooklyn, NY","16,512 sqft"
"341 40th St Sunset Park, Brooklyn, NY","1,568 sqft"
"4313 9th Ave #3D Sunset Park, Brooklyn, NY",N/A
"433 56th St Sunset Park, Brooklyn, NY","2,928 sqft"
"723 59th St Sunset Park, Brooklyn, NY",N/A
"273 61st St Sunset Park, Brooklyn, NY","3,480 sqft"
"239 55th St Sunset Park, Brooklyn, NY","1,968 sqft"
"5418 3rd Ave #5A Sunset Park, Brooklyn, NY",799 sqft
"621 59th St Sunset Park, Brooklyn, NY","2,200 sqft"
"453 63rd St Sunset Park, Brooklyn, NY","3,169 sqft"
"3907 7th Ave Sunset Park, Brooklyn, NY","1,666 sqft"
"5801 8th Ave Sunset Park, Brooklyn, NY","5,410 sqft"
"342 50th St Sunset Park, Brooklyn, NY","2,520 sqft"
"5405 6th Ave Sunset Park, Brooklyn, NY","4,723 sqft"
"568 54th St Sunset Park, Brooklyn, NY","3,012 sqft"
"4003 6th Ave Sunset Park, Brooklyn, NY","2,700 sqft"
"5811 6th Ave #CF1 Sunset Park, Brooklyn, NY","1,476 sqft"
"656 53rd St Sunset Park, Brooklyn, NY","2,796 sqft"
"205 61st St Sunset Park, Brooklyn, NY","2,290 sqft"
"4301 4th Ave #123 Sunset Park, Brooklyn, NY","4,875 sqft"
"670 44th St Sunset Park, Brooklyn, NY","2,964 sqft"
"725 58th St Sunset Park, Brooklyn, NY","1,800 sqft"
"524 52nd St Sunset Park, Brooklyn, NY","2,700 sqft"
"434 39th St #1 Sunset Park, Brooklyn, NY","1,748 sqft"
"338 52nd St Sunset Park, Brooklyn, NY","3,348 sqft"
"346 58th St Sunset Park, Brooklyn, NY","2,550 sqft"
"774 43rd St Sunset Park, Brooklyn, NY","2,373 sqft"
"858 46th St Sunset Park, Brooklyn, NY","2,700 sqft"
"4102 8th Ave #2E Sunset Park, Brooklyn, NY",451 sqft
"322 55th St Sunset Park, Brooklyn, NY","1,654 sqft"
"558 56th St Sunset Park, Brooklyn, NY","2,922 sqft"
"430-432 39th St Sunset Park, Brooklyn, NY",N/A
"425 39th St Sunset Park, Brooklyn, NY","2,438 sqft"
"559 50th St Sunset Park, Brooklyn, NY",N/A
"826 40th St Sunset Park, Brooklyn, NY","3,500 sqft"
"5709 6th Ave Sunset Park, Brooklyn, NY","4,032 sqft"
"5822 5th Ave #1 Sunset Park, Brooklyn, NY","2,000 sqft"
"531 52nd St #3C Sunset Park, Brooklyn, NY",851 sqft
"716 51st St Sunset Park, Brooklyn, NY","1,740 sqft"
"5117 7th Ave #1 Sunset Park, Brooklyn, NY","3,835 sqft"
"828 51st St Sunset Park, Brooklyn, NY","5,440 sqft"
"348 61st St Sunset Park, Brooklyn, NY",N/A
"4102 8th Ave #2F Sunset Park, Brooklyn, NY",592 sqft
"865 41st St Sunset Park, Brooklyn, NY","3,040 sqft"
"869 52nd St Sunset Park, Brooklyn, NY",900 sqft
"665 52nd St Sunset Park, Brooklyn, NY","3,732 sqft"
"849 57th St Sunset Park, Brooklyn, NY","2,610 sqft"
"828 53rd St Sunset Park, Brooklyn, NY",884 sqft
"523 40th St Sunset Park, Brooklyn, NY","1,800 sqft"
"830 53rd St Sunset Park, Brooklyn, NY",884 sqft
"838 41st St #CF1 Sunset Park, Brooklyn, NY","2,095 sqft"
"4213 8th Ave Sunset Park, Brooklyn, NY","3,231 sqft"
"774 48th St Sunset Park, Brooklyn, NY","3,407 sqft"
"5125 9th Ave Sunset Park, Brooklyn, NY","3,600 sqft"
"247 53rd St #2 Sunset Park, Brooklyn, NY","2,440 sqft"
"614 61st St Sunset Park, Brooklyn, NY","3,120 sqft"
"824-828 51st St Sunset Park, Brooklyn, NY",N/A
"873 48th St Sunset Park, Brooklyn, NY","2,560 sqft"
"658 46th St Sunset Park, Brooklyn, NY","3,750 sqft"
"5008 7th Ave #4E Sunset Park, Brooklyn, NY",879 sqft
"446 52nd St Sunset Park, Brooklyn, NY","2,352 sqft"
"4108 8th Ave #3C Sunset Park, Brooklyn, NY",930 sqft
"833 56th St Sunset Park, Brooklyn, NY","5,300 sqft"
"752 53rd St Sunset Park, Brooklyn, NY","3,002 sqft"
"745 58th St #3 Sunset Park, Brooklyn, NY",810 sqft
"5026 7th Ave Sunset Park, Brooklyn, NY","7,716 sqft"
"247 53rd St Sunset Park, Brooklyn, NY","2,600 sqft"
"824 51st St Sunset Park, Brooklyn, NY","5,440 sqft"
"4617 7th Ave Sunset Park, Brooklyn, NY","2,400 sqft"
"4616 7th Ave Sunset Park, Brooklyn, NY","3,000 sqft"
"856 43rd St #2 Sunset Park, Brooklyn, NY",830 sqft
"5117 7th Ave Sunset Park, Brooklyn, NY","3,835 sqft"
"870 44th St Sunset Park, Brooklyn, NY","2,600 sqft"
"447 63rd St Sunset Park, Brooklyn, NY","3,169 sqft"
"740 59th St Sunset Park, Brooklyn, NY","4,848 sqft"
"530 45th St Sunset Park, Brooklyn, NY","2,900 sqft"
"237 61st St Sunset Park, Brooklyn, NY","2,660 sqft"
"452 15th St #1R Park Slope, Brooklyn, NY","8,484 sqft"
"1145 84th St Dyker Heights, Brooklyn, NY","3,420 sqft"
"414 Elmwood Ave #6G Ocean Parkway, Brooklyn, NY",820 sqft
"7514 12th Ave Dyker Heights, Brooklyn, NY","2,000 sqft"
"235 Berkeley Pl #2 Park Slope, Brooklyn, NY","1,250 sqft"
"279 1st St #3B Park Slope, Brooklyn, NY",N/A
"133 Bay Ridge Pkwy #3 Bay Ridge, Brooklyn, NY","1,100 sqft"
"5011 11th Ave Borough Park, Brooklyn, NY","3,312 sqft"
"1664 64th St Bensonhurst, Brooklyn, NY","3,520 sqft"
"103 Prospect Park W #3F Park Slope, Brooklyn, NY","5,488 sqft"
"1518 59th St #1 Borough Park, Brooklyn, NY","3,000 sqft"
"305 8th Ave #A2 Park Slope, Brooklyn, NY","1,318 sqft"
"616 81st St Bay Ridge, Brooklyn, NY","1,260 sqft"
"2017 65th St Bensonhurst, Brooklyn, NY","3,000 sqft"
"83 73rd St Bay Ridge, Brooklyn, NY","2,000 sqft"
"9437 Shore Rd Fort Hamilton, Brooklyn, NY",998 sqft
"327 Bay 8th St #1B Park Slope, Brooklyn, NY",850 sqft
"59 79th St Bay Ridge, Brooklyn, NY","1,664 sqft"
"523 8th St #3R Park Slope, Brooklyn, NY",N/A
"7501 Ridge Blvd #6 Bay Ridge, Brooklyn, NY","1,000 sqft"
"1125 78th St Dyker Heights, Brooklyn, NY",901 sqft
"301 18th St Greenwood, Brooklyn, NY","1,805 sqft"
"207 Ocean Pkwy #4L Kensington, Brooklyn, NY",565 sqft
"224 22nd St #2B Greenwood, Brooklyn, NY",643 sqft
"317 3rd St #1B Park Slope, Brooklyn, NY",950 sqft
"52 Garfield Pl Park Slope, Brooklyn, NY","2,400 sqft"
"8121 Shore Rd Bay Ridge, Brooklyn, NY","10,010 sqft"
"129 Bay 7th St Park Slope, Brooklyn, NY","2,196 sqft"
"1441 76th St New Utrecht, Brooklyn, NY","1,194 sqft"
"7522 12th Ave Dyker Heights, Brooklyn, NY","1,248 sqft"
